Grade,Short Run Emphasis (SRE),Long Run Emphasis (LRE),Gray-Level Nonuniformity (GLN),Run Length Nonuniformity (RLN),Run Percentage (RP),Low Gray-Level Run Emphasis (LGRE),High Gray-Level Run Emphasis (HGRE),Short Run Low Gray-Level Emphasis (SRLGE),Short Run High Gray-Level Emphasis (SRHGE),Long Run Low Gray-Level Emphasis (LRLGE),Long Run High Gray-Level Emphasis (LRHGE)
1,4.83E-05,30962.63781,48346.82988,558.0497328,0.790554047,0.973003887,22.09431656,4.70E-05,0.000436821,29984.3207,1183904.812
1,4.33E-05,30583.83722,47649.6545,614.3584121,0.783149719,0.970696593,20.69992415,4.23E-05,0.000405355,29473.53482,1107201.431
1,3.42E-05,31645.8914,60141.4143,925.402475,0.971439362,0.978512958,1.09019102,3.35E-05,3.73E-05,30969.2206,34482.3524
1,3.53E-05,31811.1008,60090.7694,897.736675,0.97095108,0.97835437,1.0929997,3.45E-05,3.85E-05,31107.7472,34878.6946
1,3.64E-05,31045.9287,60420.788,876.327023,0.97290802,0.979684353,1.08552273,3.56E-05,3.94E-05,30410.8281,33717.03
1,5.29E-05,28835.05283,53581.38429,541.1326593,0.878253937,0.972025256,7.071289087,5.16E-05,0.000166825,27804.24165,359162.7639
1,3.63E-05,31691.8052,60235.5221,801.057612,0.971961975,0.978905272,1.08843286,3.55E-05,3.94E-05,31014.3416,34534.0596
1,3.70E-05,31664.1152,60010.534,786.28015,0.970726013,0.977962941,1.09253253,3.62E-05,4.03E-05,30957.2723,34631.0917
1,4.09E-05,29638.2951,59788.6956,761.788916,0.969432831,0.977047364,1.09705992,3.99E-05,4.49E-05,28961.4222,32496.5881
1,3.48E-05,32407.2116,60129.643,798.830164,0.971343994,0.978472988,1.0906021,3.40E-05,3.78E-05,31704.2399,35366.7624
1,3.84E-05,32557.6594,59600.7488,716.072034,0.966121674,0.977039697,1.15317844,3.75E-05,4.30E-05,31766.8814,38972.6751
1,3.81E-05,32838.94872,56909.0341,663.1554914,0.93245697,0.972612321,2.316575804,3.71E-05,6.41E-05,31847.1315,102780.8239
1,3.73E-05,36013.03642,48112.52418,484.9601879,0.798942566,0.966863964,17.97897531,3.63E-05,0.000349404,34600.18897,964021.804
1,3.77E-05,30804.2311,59075.7848,730.153297,0.964336395,0.974425467,1.12883172,3.68E-05,4.19E-05,29978.2546,35420.6295
1,4.20E-05,34500.1848,57697.5712,565.173359,0.943195343,0.973524741,1.74011791,4.10E-05,5.80E-05,33471.0985,73247.9086
